Time-stamp [msec];average number of samplings per node;average hopcount of received frames;average number of received sourced frames per node;relative delivery error [%];average energy of nodes [%];average communication energy of nodes [%];average number of extreme samplings per node;rate of alive nodes [%]
22400;0.725000;3.825000;0.666667;8.045977;88.731494;5.807746;0.183333;100.000000
22500;0.725000;3.825000;0.666667;8.045977;88.731478;5.807746;0.183333;100.000000
22600;0.725000;3.825000;0.666667;8.045977;88.731462;5.807746;0.183333;100.000000
22700;0.725000;3.825000;0.666667;8.045977;88.731446;5.807746;0.183333;100.000000
22800;0.725000;3.825000;0.666667;8.045977;88.731431;5.807746;0.183333;100.000000
22900;0.725000;3.825000;0.666667;8.045977;88.731415;5.807746;0.183333;100.000000
23000;0.725000;3.825000;0.666667;8.045977;88.731399;5.807746;0.183333;100.000000
23100;0.725000;3.825000;0.666667;8.045977;88.731384;5.807746;0.183333;100.000000
23200;0.725000;3.825000;0.666667;8.045977;88.731368;5.807746;0.183333;100.000000
23300;0.725000;3.825000;0.666667;8.045977;88.731352;5.807746;0.183333;100.000000
23400;0.725000;3.825000;0.666667;8.045977;88.731337;5.807746;0.183333;100.000000
23500;0.725000;3.825000;0.666667;8.045977;88.731321;5.807746;0.183333;100.000000
23600;0.725000;3.825000;0.666667;8.045977;88.731305;5.807746;0.183333;100.000000
23700;0.725000;3.825000;0.666667;8.045977;88.731289;5.807746;0.183333;100.000000
23800;0.725000;3.825000;0.666667;8.045977;88.731274;5.807746;0.183333;100.000000
23900;0.725000;3.825000;0.666667;8.045977;88.731258;5.807746;0.183333;100.000000
24000;0.725000;3.825000;0.666667;8.045977;88.731242;5.807746;0.183333;100.000000
24100;0.725000;3.825000;0.666667;8.045977;88.731227;5.807746;0.183333;100.000000
24200;0.725000;3.825000;0.666667;8.045977;88.731211;5.807746;0.183333;100.000000
24300;0.725000;3.825000;0.666667;8.045977;88.731195;5.807746;0.183333;100.000000
24400;0.725000;3.825000;0.666667;8.045977;88.731179;5.807746;0.183333;100.000000
24500;0.725000;3.825000;0.666667;8.045977;88.731164;5.807746;0.183333;100.000000
24600;0.725000;3.825000;0.666667;8.045977;88.731148;5.807746;0.183333;100.000000
24700;0.725000;3.825000;0.666667;8.045977;88.731132;5.807746;0.183333;100.000000
24800;0.725000;3.825000;0.666667;8.045977;88.731117;5.807746;0.183333;100.000000
24900;0.725000;3.825000;0.666667;8.045977;88.731101;5.807746;0.183333;100.000000
25000;0.725000;3.825000;0.666667;8.045977;88.731085;5.807746;0.183333;100.000000
25100;0.725000;3.825000;0.666667;8.045977;88.731070;5.807746;0.183333;100.000000
25200;0.725000;3.825000;0.666667;8.045977;88.731054;5.807746;0.183333;100.000000
25300;0.725000;3.825000;0.666667;8.045977;88.731038;5.807746;0.183333;100.000000
25400;0.733333;3.825000;0.666667;9.090909;88.729094;5.807767;0.191667;100.000000
25500;0.733333;3.825000;0.666667;9.090909;88.728809;5.807769;0.191667;100.000000
25600;0.733333;3.825000;0.666667;9.090909;88.728793;5.807769;0.191667;100.000000
25700;0.733333;3.825000;0.666667;9.090909;88.728778;5.807769;0.191667;100.000000
25800;0.733333;3.825000;0.666667;9.090909;88.728762;5.807769;0.191667;100.000000
25900;0.733333;3.825000;0.666667;9.090909;88.728746;5.807769;0.191667;100.000000
26000;0.733333;3.825000;0.666667;9.090909;88.728731;5.807769;0.191667;100.000000
26100;0.733333;3.825000;0.666667;9.090909;88.728715;5.807769;0.191667;100.000000
26200;0.733333;3.825000;0.666667;9.090909;88.728699;5.807769;0.191667;100.000000
